"Station","Year","Month","Day","Daily.Rainfall.Total..mm.","Highest.30.Min.Rainfall..mm.","Highest.60.Min.Rainfall..mm.","Highest.120.Min.Rainfall..mm.","Mean.Temperature..Â.C.","Maximum.Temperature..Â.C.","Minimum.Temperature..Â.C.","Mean.Wind.Speed..km.h.","Max.Wind.Speed..km.h.","Latitude","Longitude","Date","Season"
"Botanic Garden",2018,6,23,6,6,6,6,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-23,"Southwest Monsoon"
"Botanic Garden",2018,6,24,15.6,10.2,14.8,15.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-24,"Southwest Monsoon"
"Botanic Garden",2018,6,25,3,1.2,1.4,2.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-25,"Southwest Monsoon"
"Botanic Garden",2018,6,26,72.4,34.2,52.4,64.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-26,"Southwest Monsoon"
"Botanic Garden",2018,6,27,4.8,1.6,2,2.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-27,"Southwest Monsoon"
"Botanic Garden",2018,6,28,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-28,"Southwest Monsoon"
"Botanic Garden",2018,6,29,40.8,30,36,39,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-29,"Southwest Monsoon"
"Botanic Garden",2018,6,30,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-30,"Southwest Monsoon"
"Botanic Garden",2018,7,1,1,0.4,0.6,0.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-07-01,"Southwest Monsoon"
"Botanic Garden",2018,7,2,1.6,0.8,1.4,1.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-07-02,"Southwest Monsoon"
"Botanic Garden",2018,7,3,1.6,1,1,1,NA,NA,NA,NA,NA,1.3087,103.818,2018-07-03,"Southwest Monsoon"
"Botanic Garden",2018,7,4,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-07-04,"Southwest Monsoon"
"Botanic Garden",2018,7,5,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-07-05,"Southwest Monsoon"
"Botanic Garden",2018,7,6,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-07-06,"Southwest Monsoon"
"Botanic Garden",2018,7,7,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-07-07,"Southwest Monsoon"
