Station,Year,Month,Day,Daily.Rainfall.Total..mm.,Latitude,Longitude,Date,Season
Botanic Garden,2018,6,28,0,1.3087,103.818,2018/6/28,Southwest Monsoon
Botanic Garden,2018,6,29,40.8,1.3087,103.818,2018/6/29,Southwest Monsoon
Botanic Garden,2018,6,30,0,1.3087,103.818,2018/6/30,Southwest Monsoon
Botanic Garden,2018,7,1,1,1.3087,103.818,2018/7/1,Southwest Monsoon
Botanic Garden,2018,7,2,1.6,1.3087,103.818,2018/7/2,Southwest Monsoon
Botanic Garden,2018,7,3,1.6,1.3087,103.818,2018/7/3,Southwest Monsoon
Botanic Garden,2018,7,4,0.2,1.3087,103.818,2018/7/4,Southwest Monsoon
Botanic Garden,2018,7,5,0,1.3087,103.818,2018/7/5,Southwest Monsoon
Botanic Garden,2018,7,6,0,1.3087,103.818,2018/7/6,Southwest Monsoon
Botanic Garden,2018,7,7,0,1.3087,103.818,2018/7/7,Southwest Monsoon
Botanic Garden,2018,7,8,0,1.3087,103.818,2018/7/8,Southwest Monsoon
Botanic Garden,2018,7,9,0.2,1.3087,103.818,2018/7/9,Southwest Monsoon
Botanic Garden,2018,7,10,11.4,1.3087,103.818,2018/7/10,Southwest Monsoon
Botanic Garden,2018,7,11,0,1.3087,103.818,2018/7/11,Southwest Monsoon
Botanic Garden,2018,7,12,0,1.3087,103.818,2018/7/12,Southwest Monsoon
Botanic Garden,2018,7,13,0,1.3087,103.818,2018/7/13,Southwest Monsoon
Botanic Garden,2018,7,14,0,1.3087,103.818,2018/7/14,Southwest Monsoon
Botanic Garden,2018,7,15,21.6,1.3087,103.818,2018/7/15,Southwest Monsoon
Botanic Garden,2018,7,16,0,1.3087,103.818,2018/7/16,Southwest Monsoon
Botanic Garden,2018,7,17,0,1.3087,103.818,2018/7/17,Southwest Monsoon
Botanic Garden,2018,7,18,0.6,1.3087,103.818,2018/7/18,Southwest Monsoon
Botanic Garden,2018,7,19,12.4,1.3087,103.818,2018/7/19,Southwest Monsoon
Botanic Garden,2018,7,20,10,1.3087,103.818,2018/7/20,Southwest Monsoon
Botanic Garden,2018,7,21,11.8,1.3087,103.818,2018/7/21,Southwest Monsoon
Botanic Garden,2018,7,22,1.2,1.3087,103.818,2018/7/22,Southwest Monsoon
Botanic Garden,2018,7,23,0,1.3087,103.818,2018/7/23,Southwest Monsoon
Botanic Garden,2018,7,24,0,1.3087,103.818,2018/7/24,Southwest Monsoon
